id,full_name,email,password_hash,role,reputation_plus,reputation_minus,allow_bid,is_blocked,last_login,address,dob,created_at
563adb54-19ed-4f3f-ab03-97adc9e67e46,Mozes Heddan,mheddang@google.de,$2a$04$yBFTjIZNYvaCwegqwnhSVemjmzM69tl9jX8Qnv5Momnt24oA5s.V.,admin,157,21,true,false,2025-01-06 00:00:00,6291 Beilfuss Plaza,2003-07-04,2024-11-09 00:00:00
5fb6ac68-bf51-41a0-a82f-a9a85e494079,Horatio Wimlett,hwimlett8@pen.io,$2a$04$r./Z9/J2/KNkiSYEVu50wuSDKWM2RTJEaI8NYZuooOvUS0bDx0nXW,bidder,151,6,true,false,2025-08-27 00:00:00,6280 Emmet Drive,2008-12-22,2024-03-06 00:00:00
6043eaa5-7735-4261-bac1-d7410c96f034,Germain Folkerts,gfolkerts3@globo.com,$2a$04$1scmHD7BInnrnlWESYmeFOk/oKlM6vhR0CUbpHpBH9l3yE8EF..QS,bidder,91,12,true,true,2025-07-23 00:00:00,1354 Evergreen Circle,2003-10-06,2024-03-26 00:00:00
639f899b-a662-4a29-841e-bb2e7bb1ea8f,Hattie McCole,hmccole9@over-blog.com,$2a$04$5873BgWtaweymz2doTdm0u4mU1CqZbWVflL.pWPnUbSnpoAwPmz5.,bidder,9,7,false,false,2025-08-15 00:00:00,51 Oriole Park,2003-01-06,2025-09-12 00:00:00
6ae7fa67-377a-4bba-8676-029d005e2bc1,Lemmie Ferrelli,lferrellii@w3.org,$2a$04$KStTxsZLyQrgoYLZtnZFTuLqlSRnHIcjICTpzVbSocW/AbkdDBazS,seller,130,19,true,true,2025-10-28 00:00:00,5 Old Gate Pass,2007-11-22,2024-07-14 00:00:00
6dee7224-0cd4-405a-a0de-163ee91b0685,Retha Cornick,rcornickc@nyu.edu,$2a$04$wcoPO/L1rdzo2yeIKCy0o.MUJ8YEzh0U9jDo0pnIS7pVlJs.moN1W,bidder,165,27,false,true,2025-01-04 00:00:00,9992 Moose Parkway,2001-03-11,2025-04-04 00:00:00
73522f6e-93c0-4066-857c-03ac111f0132,Dyanne Zipsell,dzipsellf@foxnews.com,$2a$04$mOQfVMZ6iHsLvPiP2vbtfehsuIL8pzcdFVyxquIPgYQhMgFprh7AS,seller,192,13,true,true,2025-06-22 00:00:00,60849 Orin Plaza,2009-10-14,2023-12-05 00:00:00
76c91bb9-8fc0-465c-8ec7-5716c05004a8,Iona Zupone,izuponem@qq.com,$2a$04$r0b9l5srMBrguEW/DxoGqeHxqPwpHgOsVMRxEkU53vqX7RfXU2zB.,bidder,10,27,false,false,2025-11-14 00:00:00,99 Bluestem Avenue,2009-09-13,2024-10-01 00:00:00
79929588-7af9-4046-a39a-52feee2415e4,Jade Senecaut,jsenecauta@marriott.com,$2a$04$jKqGU6kdcANUO9uNcOrXMeFU12bw5joYOY0CDPaY0gYUZ7Py3azMu,bidder,56,32,true,false,2025-04-22 00:00:00,25605 Cottonwood Alley,2010-09-15,2025-12-01 00:00:00
a155ec1d-c375-47e3-865a-e154f17a3ced,Lindon Pinniger,lpinnigerr@jalbum.net,$2a$04$RZmD2W.D.IIwiSPR7HMO6.jHCRQza.tUFqWKXBek6/vCSEFlw/1Q6,bidder,123,7,false,true,2025-07-09 00:00:00,288 Trailsway Court,2008-01-24,2025-11-28 00:00:00
a3d7486c-6628-42e7-8a54-f326ba5f6775,Glynn Di Franceschi,gdit@nba.com,$2a$04$il2Q7DAG5.xlGP6Oq6k9C.ozNwilupAGb5Nyj4BHCbwvb2GEFStPK,bidder,156,25,true,false,2025-07-01 00:00:00,14189 Cottonwood Point,2001-08-14,2024-01-12 00:00:00
a6d4cf56-3f54-4d80-b1d7-8dd9b489a439,Etta Rigden,erigdenp@google.com.hk,$2a$04$bJf8IwnPkwS2Tdz0fswTBe2NbX9XlsltBmSQ4WhLZky7noiIwhaHK,seller,73,8,true,false,2024-12-25 00:00:00,938 Bunting Center,2004-04-10,2024-08-23 00:00:00
ac285fd8-a4a1-40ac-8286-c8d6173f057a,Giustino MacGall,gmacgall0@bandcamp.com,$2a$04$OWevy8NNODqN46m7/wpKFeUfaOYpG0iHCPI4Ittjbmphp0yLoqBZi,bidder,31,27,false,false,2025-04-21 00:00:00,98996 North Court,2006-10-16,2025-11-07 00:00:00
b21a550d-d4a8-4072-9ee7-cc10cadfa768,Dasha Wackett,dwacketts@statcounter.com,$2a$04$gUlZCdUTVm.n7qUIBG2/r.EggQxP/BAXgoGyto8RzYuM6efr8hvAu,admin,12,41,true,false,2025-01-07 00:00:00,3694 Arapahoe Circle,2004-03-11,2023-12-11 00:00:00
b921a687-1b4f-43a3-9fb6-ad8233b1e9ed,Jannelle Castel,jcastel7@github.com,$2a$04$ZTsmAs2yg/sOp4ej2IZ1vOMNAO4GAd4yCjtWtebIUvSdpt/UCYsmS,bidder,144,30,true,true,2025-10-26 00:00:00,6222 Nelson Trail,2004-12-14,2025-03-31 00:00:00
bb62fb14-2fdc-4944-ac60-8a2d933d71aa,Hermine Overshott,hovershotte@home.pl,$2a$04$LlsWwmZxhFXjgxYflRHZq.7ctl4vdy5xvzjeZWw52d1A0TK.0mPVC,bidder,163,25,true,false,2025-05-18 00:00:00,8 Calypso Court,2004-03-31,2025-04-09 00:00:00
c06d07a6-9c76-4620-abca-d5ba5b5a9dca,Karine Guiel,kguiel2@google.co.uk,$2a$04$qZk2rc0LgnCZds.9w.uuY.KQmPhxWuWH//cIi3I/FjGonYSfR6j7C,admin,198,32,true,false,2025-10-08 00:00:00,5 Bowman Plaza,2003-11-19,2024-03-17 00:00:00
d3a5488c-25f9-4dad-93b7-df54b25937b8,Philomena Dumbarton,pdumbarton1@163.com,$2a$04$pA6a2J9kX10KBoQqnjsw2OWogKyZL/cdhuYeHABjycVXj3xCTfX1u,bidder,4,30,true,false,2025-08-16 00:00:00,70 Dahle Park,2007-05-17,2025-04-23 00:00:00
de332974-fe7a-4fbc-8cfc-7ff5c02b7a02,Tabbitha Booth,tbooth4@cnet.com,$2a$04$abdQMKMFKM.1NUR4RkeJH.3XW1DBsRoiv341DSncWxMbU9xWEkQS6,bidder,37,23,true,false,2025-05-20 00:00:00,995 Claremont Terrace,2007-04-09,2024-05-28 00:00:00
f40d4396-134a-4c0d-b619-4f2c6a7e27a5,Etan Hardinge,ehardingeo@squidoo.com,$2a$04$g45Ra4XENkm78kAt4fYMw.e/w7nAcZhlS4NvMCIOOCUNHcXF7m28u,seller,95,18,true,true,2025-08-25 00:00:00,84 Oakridge Lane,2004-01-14,2025-10-08 00:00:00
